country_id,Country (of organization)
1,United States of America
2,China
3,Korea (Republic of)
4,France
5,Germany
6,Ukraine
7,Russia
8,United Kingdom of Great Britain and Northern Ireland
9,Australia
10,United Arab Emirates
11,Japan
12,Switzerland
13,Canada
14,Singapore
15,Israel
16,Thailand
17,Bulgaria
18,Hong Kong
19,Poland
20,Taiwan
21,India
22,Indonesia
23,Sweden
24,Luxembourg
25,Multinational
26,Iran (Islamic Republic of)
27,Italy
28,Denmark
29,Saudi Arabia
30,Netherlands
31,Vietnam
32,Austria
33,Finland
34,Spain
35,Croatia
36,Hungary
37,Greece
38,Portugal
39,Lebanon
40,Lithuania
41,Belgium
42,Argentina
43,Czechia
44,Mexico
45,New Zealand
