domain_id,Domain,Task
1,Language,"Language modeling/generation,Question answering"
2,Language,"Language modeling/generation,Coding"
3,Multimodal,"Language modeling/generation,Question answering"
4,Language,"Language modeling/generation,Code generation"
5,Language,Language modeling/generation
6,Language,"Coding,Agentic tasks"
7,Unknown,Unknown
8,Multimodal,Language modeling/generation
9,Language,"Code generation,Language modeling/generation,Quantitative reasoning,Search,Visual question answering,Translation,Image captioning,Instruction interpretation,Mathematical reasoning,Visual puzzles,Code autocompletion,Chat,Character recognition (OCR),Language modeling,Language generation,Text autocompletion,Retrieval-augmented generation,System control"
10,Robotics,Robotic manipulation
11,Language,"Language modeling/generation,Vision-language generation"
12,Language,"Code generation,System control,Search,Language modeling/generation,Question answering"
13,Image generation,"Video generation,Audio generation"
14,Language,"Language modeling/generation,Chat"
15,Language,"Language modeling/generation,Chat,Question answering,Code generation,Mathematical reasoning,Instruction interpretation"
16,Language,"Code generation,Language modeling/generation,Translation,Instruction interpretation,Mathematical reasoning,Chat,Language modeling,Language generation,Text autocompletion"
17,Multimodal,"Language modeling/generation,(Visual) Question answering,Image Understanding"
18,Language,"Chat,Language modeling/generation,Code generation,Tool use,Agentic workflows"
19,Language,"Coding,Language modeling/generation"
20,Unknown,"Language modeling/generation,Question answering"
21,Language,"Mathematical problem solving,Proof writing,Reasoning"
22,3D modeling,Unknown
23,Video,Video generation
24,Language,"Mathematical reasoning,Theorem proving,Proof generation,Proof verification"
25,Image generation,Image generation
26,Language,"Language modeling/generation,Chat,Reasoning,Code generation"
27,Vision,Image segmentation
28,Language,"Language modeling/generation,Chat,Code generation,Mathematical reasoning,Tool use"
29,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation"
30,Language,Question answering
31,Recommendation,Recommender system
32,Language,"Language modeling/generation,Question answering,Search,Quantitative reasoning,Code generation"
33,Video,"Text-to-video,Image-to-video,Image generation,Text-to-image,Visual question answering,Language modeling/generation,Question answering,Speech recognition (ASR),Video description"
34,Language,"Language modeling/generation,Question answering,Mathematical reasoning"
35,Language,"Code generation,System control"
36,Language,Code generation
37,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Search,System control"
38,Language,"Language modeling/generation,Question answering,Quantitative reasoning"
39,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Mathematical reasoning"
40,Vision,"Character recognition (OCR),Visual question answering"
41,Biology,"Protein or nucleotide language model (pLM/nLM),Protein generation"
42,Language,"Chat,Code generation,Language modeling/generation,Question answering"
43,Video,"Image-to-video,Video generation,Text-to-video,Audio generation"
44,Language,"Language modeling/generation,Question answering,Code generation"
45,Image generation,"Image generation,Text-to-image"
46,Language,"Cell Biology,RNA sequence generation,Language modeling/generation,Question answering"
47,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation"
48,Image generation,"Image generation,Video generation,Text-to-image,Text-to-video,Image-to-image,Image-to-video"
49,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Visual question answering,Translation,Image captioning,Video description,Speech recognition (ASR),System control,Search"
50,Language,"Language modeling/generation,Question answering,Visual puzzles"
51,Language,"Language modeling/generation,Question answering,Text summarization,Text classification,Retrieval-augmented generation,Code generation"
52,Speech,"Speech synthesis,Text-to-speech (TTS)"
53,Speech,"Speech-to-speech,Audio question answering"
54,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning,System control"
55,Video,"Video generation,Text-to-video"
56,Language,"Language modeling/generation,Code generation,System control,Question answering,Quantitative reasoning,Mathematical reasoning,Visual question answering"
57,Robotics,"Robotic manipulation,Animal (human/non-human) imitation,Instruction interpretation"
58,Video,"Video generation,Text-to-video,Image-to-video,Image generation,Text-to-image,Video-to-video"
59,Video,"Video generation,Text-to-video,Image-to-video,Video-to-video"
60,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering,Search,System control,Instruction interpretation"
61,Language,"Visual question answering,Character recognition (OCR)"
62,Video,"Video generation,Audio generation,Text-to-video,Image-to-video"
63,Video,"Image-to-video,Video generation"
64,Audio,Audio generation
65,Robotics,"Robotic manipulation,Instruction interpretation"
66,Vision,"Instruction interpretation,Robotic manipulation,Image captioning,Object detection,Search,Language modeling/generation,Question answering,Speech recognition (ASR)"
67,Language,Semantic embedding
68,Biology,Protein folding prediction
69,Multimodal,"Language modeling/generation,Question answering,Visual question answering,Image captioning,Video description,Speech recognition (ASR),Speech synthesis,Speech-to-text,Text-to-speech (TTS)"
70,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Search,Code generation,Mathematical reasoning"
71,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Translation,Visual question answering,Image captioning"
72,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Translation"
73,Vision,"Visual question answering,Character recognition (OCR),Retrieval-augmented generation"
74,Language,"Language modeling/generation,Question answering,System control,Quantitative reasoning,Mathematical reasoning,Code generation,Search"
75,Video,"Video generation,Image-to-video"
76,Language,"Language modeling/generation,Question answering,System control,Code generation"
77,Other,Signal processing
78,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Code generation,Quantitative reasoning,Retrieval-augmented generation,Translation"
79,Speech,"Text-to-speech (TTS),Speech synthesis"
80,Language,"Language modeling/generation,Question answering,Code generation,Translation"
81,Language,"Language modeling/generation,Question answering,Chat,Code generation,Quantitative reasoning,Instruction interpretation"
82,Speech,"Speech recognition (ASR),Speech synthesis,Visual question answering,Speech-to-speech,Audio question answering"
83,Language,"Language modeling/generation,Code generation,Code autocompletion"
84,Video,"Speech recognition (ASR),Video generation"
85,Image generation,"Image generation,Text-to-image,Image-to-image"
86,Language,"Language modeling/generation,Question answering,Code generation,Mathematical reasoning,Retrieval-augmented generation"
87,Language,"Language modeling/generation,Question answering,System control,Code generation,Mathematical reasoning"
88,Earth science,"Heliophysics,Weather forecasting"
89,Multimodal,"Language modeling/generation,Question answering,Visual question answering"
90,Materials science,Unknown
91,Image generation,Image-to-image
92,Multimodal,"Language modeling/generation,Visual question answering,Question answering,Character recognition (OCR),Image captioning,Quantitative reasoning,Mathematical reasoning,Video description"
93,Multimodal,"Language modeling/generation,Question answering,Visual question answering,Image captioning,Video description,Table tasks,Character recognition (OCR)"
94,Multimodal,"Language modeling/generation,Question answering,Visual question answering,Image captioning"
95,Speech,"Speech recognition (ASR),Translation,Speech-to-text"
96,Speech,"Speech-to-text,Speech recognition (ASR)"
97,Video,"Text-to-video,Video generation"
98,Vision,"Image classification,Object detection,Semantic segmentation"
99,Image generation,"Image-to-image,Image generation"
100,Language,"Language modeling/generation,Question answering,System control,Code generation,Search,Quantitative reasoning,Mathematical reasoning,Visual question answering"
101,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning"
102,Games,"Video generation,Text-to-video"
103,Language,"Language modeling/generation,Question answering,Visual question answering,Image captioning,Video description,Table tasks,Character recognition (OCR)"
104,Language,Visual puzzles
105,Language,"Language modeling/generation,Mathematical reasoning"
106,Language,"Code generation,Mathematical reasoning"
107,Language,"Language modeling/generation,Mathematical reasoning,Code generation,Visual question answering,Question answering,Visual puzzles,Video description,Speech recognition (ASR),Speech-to-text"
108,Video,"Image-to-video,Video generation,Text-to-video"
109,Vision,"Visual question answering,Character recognition (OCR),Language modeling/generation,Question answering"
