Model,Organization,Country (of organization),Publication date,Organization categorization,Domain,Task,Parameters,Training compute (FLOP),Training dataset size (total),Training time (hours),Training compute cost (2023 USD),Hardware quantity,Training hardware,Model accessibility,Training code accessibility,Open model weights?,Citations,Confidence,Notability criteria,Year,Month,bloque_geopolitico,era_tecnologica,tipo_acceso,es_language,es_vision,es_biology,es_multimodal,es_image_generation,es_speech,es_industry,es_academia,es_abierto,es_post_2020,es_post_2017,log_parameters,log_training_compute_flop,log_citations,modelos_anio,modelos_acumulados_global,modelos_pais,pct_participacion_pais,modelos_dominio,pct_participacion_dominio
Gemma 4 31B IT,Google DeepMind,United States of America,2026-04-02,Industry,Language,"Language modeling/generation,Question answering",31000000000.0,,,,,,,Open weights (restricted use),Unknown,Yes,,Likely,Unknown,2026.0,4.0,Anglosphere,Era LLM (2023-2026),Abierto,1,0,0,0,0,0,1,0,1,1,1,24.157253041463814,,,30,3405,1698,49.87,1648,48.4
Nemotron 3 Super,NVIDIA,United States of America,2026-03-11,Industry,Language,"Language modeling/generation,Coding",120000000000.0,,,,,,,Unknown,Unknown,Unknown,,Likely,Discretionary,2026.0,3.0,Anglosphere,Era LLM (2023-2026),Unknown,1,0,0,0,0,0,1,0,0,1,1,25.51075757973679,,,30,3405,1698,49.87,1648,48.4
GPT-5.4,OpenAI,United States of America,2026-03-05,Industry,Multimodal,"Language modeling/generation,Question answering",,,,,,,,API access,Unreleased,No,,Likely,Significant use,2026.0,3.0,Anglosphere,Era LLM (2023-2026),Cerrado,0,0,0,1,0,0,1,0,0,1,1,,,,30,3405,1698,49.87,195,5.73
GPT-5.4 Pro,OpenAI,United States of America,2026-03-05,Industry,Multimodal,"Language modeling/generation,Question answering",,,,,,,,API access,Unreleased,No,,Likely,Discretionary,2026.0,3.0,Anglosphere,Era LLM (2023-2026),Cerrado,0,0,0,1,0,0,1,0,0,1,1,,,,30,3405,1698,49.87,195,5.73
Gemini 3.1 Flash-Lite,Google,United States of America,2026-03-03,Industry,Language,"Language modeling/generation,Code generation",,,,,,,,API access,Unreleased,No,,Likely,Unknown,2026.0,3.0,Anglosphere,Era LLM (2023-2026),Cerrado,1,0,0,0,0,0,1,0,0,1,1,,,,30,3405,1698,49.87,1648,48.4
Gemini 3.0 Flash-lite,Google DeepMind,United States of America,2026-03-03,Industry,Language,Language modeling/generation,,,,,,,,API access,Unknown,No,,Likely,Significant use,2026.0,3.0,Anglosphere,Era LLM (2023-2026),Cerrado,1,0,0,0,0,0,1,0,0,1,1,,,,30,3405,1698,49.87,1648,48.4
SWE 1.6,Cognition,United States of America,2026-03-01,Industry,Language,"Coding,Agentic tasks",,,,,,2000.0,NVIDIA GB200,Hosted access (no API),Unknown,No,,Likely,Discretionary,2026.0,3.0,Anglosphere,Era LLM (2023-2026),Cerrado,1,0,0,0,0,0,1,0,0,1,1,,,,30,3405,1698,49.87,1648,48.4
Qwen 3.5 Flash (hosted 35B-A3B),Alibaba,China,2026-02-25,Industry,Unknown,Unknown,,,,,,,,Unknown,Unknown,Unknown,,Likely,Unknown,2026.0,2.0,China,Era LLM (2023-2026),Unknown,0,0,0,0,0,0,1,0,0,1,1,,,,30,3405,809,23.76,40,1.17
Qwen3.5-122B-A10B,Alibaba,China,2026-02-24,Industry,Language,Language modeling/generation,122000000000.0,,,,,,,Open weights (restricted use),Unknown,Yes,,Likely,Discretionary,2026.0,2.0,China,Era LLM (2023-2026),Abierto,1,0,0,0,0,0,1,0,1,1,1,25.527286881687864,,,30,3405,809,23.76,1648,48.4
Qwen3.5-27B,Alibaba,China,2026-02-24,Industry,Language,Language modeling/generation,27000000000.0,,,,,,,Open weights (restricted use),Unknown,Yes,,Likely,Unknown,2026.0,2.0,China,Era LLM (2023-2026),Abierto,1,0,0,0,0,0,1,0,1,1,1,24.019102702987777,,,30,3405,809,23.76,1648,48.4
Qwen3.5-9B,Alibaba,China,2026-02-24,Industry,Language,Language modeling/generation,9000000000.0,,,,,,,Open weights (restricted use),Unknown,Yes,,Likely,Unknown,2026.0,2.0,China,Era LLM (2023-2026),Abierto,1,0,0,0,0,0,1,0,1,1,1,22.920490414393743,,,30,3405,809,23.76,1648,48.4
Qwen3.5-4B,Alibaba,China,2026-02-24,Industry,Language,Language modeling/generation,4000000000.0,,,,,,,Open weights (restricted use),Unknown,Yes,,Likely,Unknown,2026.0,2.0,China,Era LLM (2023-2026),Abierto,1,0,0,0,0,0,1,0,1,1,1,22.109560198316302,,,30,3405,809,23.76,1648,48.4
Qwen3.5-2B,Alibaba,China,2026-02-24,Industry,Language,Language modeling/generation,2000000000.0,,,,,,,Open weights (restricted use),Unknown,Yes,,Likely,Unknown,2026.0,2.0,China,Era LLM (2023-2026),Abierto,1,0,0,0,0,0,1,0,1,1,1,21.416413018006356,,,30,3405,809,23.76,1648,48.4
Gemini 3.1 Pro,Google DeepMind,United States of America,2026-02-19,Industry,Multimodal,Language modeling/generation,,,,,,,,API access,Unreleased,No,,Likely,Unknown,2026.0,2.0,Anglosphere,Era LLM (2023-2026),Cerrado,0,0,0,1,0,0,1,0,0,1,1,,,,30,3405,1698,49.87,195,5.73
