Model,Organization,Country (of organization),bloque_geopolitico,era_tecnologica,Domain,pca_1,pca_2,tsne_1,tsne_2
DataRater test model (1B),Google DeepMind,United States of America,Anglosphere,Era LLM (2023-2026),Language,1.242079675976351,-0.36380355407128884,1.1783046,27.134762
Seaweed-7B,ByteDance,China,China,Era LLM (2023-2026),Video,1.7082783581984406,0.437305328145079,4.784028,22.586037
Pangu Ultra,Huawei,China,China,Era LLM (2023-2026),Language,2.450273222811861,-0.03513770100130423,6.073376,29.911104
GR00T N1 2B,NVIDIA,United States of America,Anglosphere,Era LLM (2023-2026),Robotics,1.7397010285410222,0.8344271131712818,8.534936,2.7267394
HAMSTER VLM,"NVIDIA,University of Washington,University of Southern California",United States of America,Anglosphere,Era LLM (2023-2026),Robotics,1.7944003108026156,0.5111190057007037,8.285723,2.6967213
Eagle 2,"NVIDIA,Nanjing University,Tsinghua University,Hong Kong Polytechnic University,Johns Hopkins University,New York University (NYU)",United States of America,Anglosphere,Era LLM (2023-2026),Vision,1.470830553394866,1.207724363223918,-25.806765,19.034338
Uni-Med,"Tsinghua University,Beijing University of Posts and Telecommunications",China,China,Era LLM (2023-2026),Unknown,0.808379989835593,-1.9159978935753004,-16.03642,-23.976782
Pro-PRIME,"Shanghai Jiao Tong University,Shanghai AI Lab,East China University of Science and Technology,Shanghai Tech University,Guangzhou Inernational Bio Island,Chinese Academy of Sciences,Shanghai Academy of Experimental Medicine",China,China,Era LLM (2023-2026),Biology,0.47274784408534143,-3.187900895004221,15.151018,-36.573967
RDT-1B,Tsinghua University,China,China,Era LLM (2023-2026),Robotics,0.778018936492515,-1.2826374445501216,-1.1040905,-15.300285
Pyramid Flow,"Peking University,Kuaishou Technology,Beijing University of Posts and Telecommunications",China,China,Era LLM (2023-2026),Video,0.7524998453881708,-1.3973847329253652,-1.2033927,-15.322282
Aria,Rhymes AI,United States of America,Anglosphere,Era LLM (2023-2026),Multimodal,2.5099923726170648,1.2251835968922142,32.6115,6.4181113
