Domain,era_tecnologica,modelos
3D modeling,Era Deep Learning (2000-2011),1
3D modeling,Era GPU (2012-2016),1
3D modeling,Era LLM (2023-2026),13
3D modeling,Era Transformer (2017-2022),4
Astronomy,Era LLM (2023-2026),1
Audio,Era GPU (2012-2016),1
Audio,Era LLM (2023-2026),24
Audio,Era Transformer (2017-2022),2
Biology,Era Conexionista (1980-1999),1
Biology,Era Deep Learning (2000-2011),1
Biology,Era GPU (2012-2016),1
Biology,Era LLM (2023-2026),289
Biology,Era Transformer (2017-2022),92
Driving,Era Conexionista (1980-1999),2
Driving,Era Deep Learning (2000-2011),4
Driving,Era LLM (2023-2026),1
Earth science,Era LLM (2023-2026),13
Earth science,Era Transformer (2017-2022),4
Games,Era Conexionista (1980-1999),3
Games,Era Deep Learning (2000-2011),2
Games,Era GPU (2012-2016),11
Games,Era LLM (2023-2026),10
Games,Era Simbólica (1950-1979),6
Games,Era Transformer (2017-2022),29
Image generation,Era GPU (2012-2016),5
Image generation,Era LLM (2023-2026),113
Image generation,Era Transformer (2017-2022),65
Language,Era Conexionista (1980-1999),13
Language,Era Deep Learning (2000-2011),34
Language,Era GPU (2012-2016),81
Language,Era LLM (2023-2026),993
Language,Era Simbólica (1950-1979),1
Language,Era Transformer (2017-2022),526
Materials science,Era Conexionista (1980-1999),1
Materials science,Era LLM (2023-2026),8
Materials science,Era Transformer (2017-2022),8
Mathematics,Era Conexionista (1980-1999),4
Mathematics,Era Deep Learning (2000-2011),2
Mathematics,Era GPU (2012-2016),1
Mathematics,Era LLM (2023-2026),13
Mathematics,Era Simbólica (1950-1979),2
Mathematics,Era Transformer (2017-2022),1
Medicine,Era Conexionista (1980-1999),2
Medicine,Era LLM (2023-2026),10
Medicine,Era Simbólica (1950-1979),1
Medicine,Era Transformer (2017-2022),3
Multimodal,Era GPU (2012-2016),1
Multimodal,Era LLM (2023-2026),171
Multimodal,Era Transformer (2017-2022),23
Other,Era Conexionista (1980-1999),6
Other,Era Deep Learning (2000-2011),12
Other,Era GPU (2012-2016),2
Other,Era LLM (2023-2026),5
Other,Era Simbólica (1950-1979),6
Other,Era Transformer (2017-2022),1
Psychology,Era LLM (2023-2026),1
Recommendation,Era Conexionista (1980-1999),3
Recommendation,Era Deep Learning (2000-2011),15
Recommendation,Era GPU (2012-2016),4
Recommendation,Era LLM (2023-2026),3
Recommendation,Era Transformer (2017-2022),9
Robotics,Era Conexionista (1980-1999),2
Robotics,Era Deep Learning (2000-2011),1
Robotics,Era GPU (2012-2016),1
Robotics,Era LLM (2023-2026),45
Robotics,Era Simbólica (1950-1979),4
Robotics,Era Transformer (2017-2022),11
Search,Era Deep Learning (2000-2011),1
Search,Era LLM (2023-2026),1
Search,Era Transformer (2017-2022),1
Speech,Era Conexionista (1980-1999),10
Speech,Era Deep Learning (2000-2011),6
Speech,Era GPU (2012-2016),15
Speech,Era LLM (2023-2026),72
Speech,Era Simbólica (1950-1979),2
Speech,Era Transformer (2017-2022),23
Unknown,Era Conexionista (1980-1999),1
Unknown,Era LLM (2023-2026),34
Unknown,Era Transformer (2017-2022),5
Video,Era Deep Learning (2000-2011),1
Video,Era GPU (2012-2016),7
Video,Era LLM (2023-2026),106
Video,Era Transformer (2017-2022),6
Vision,Era Conexionista (1980-1999),20
Vision,Era Deep Learning (2000-2011),55
Vision,Era GPU (2012-2016),100
Vision,Era LLM (2023-2026),94
Vision,Era Simbólica (1950-1979),8
Vision,Era Transformer (2017-2022),108
