Country (of organization),bloque_geopolitico,Year,modelos
Argentina,Latinoamérica,2013.0,1
Australia,Anglosphere,2016.0,2
Australia,Anglosphere,2017.0,1
Australia,Anglosphere,2019.0,2
Australia,Anglosphere,2024.0,3
Australia,Anglosphere,2025.0,1
Austria,Otro,2016.0,1
Austria,Otro,2020.0,1
Austria,Otro,2021.0,1
Austria,Otro,2022.0,1
Austria,Otro,2023.0,5
Austria,Otro,2024.0,1
Belgium,Europa,2016.0,1
Belgium,Europa,2017.0,2
Belgium,Europa,2018.0,3
Bulgaria,Otro,2025.0,1
Canada,Anglosphere,1988.0,1
Canada,Anglosphere,2000.0,1
Canada,Anglosphere,2001.0,1
Canada,Anglosphere,2003.0,2
Canada,Anglosphere,2006.0,3
Canada,Anglosphere,2007.0,2
Canada,Anglosphere,2008.0,4
Canada,Anglosphere,2009.0,4
Canada,Anglosphere,2010.0,5
Canada,Anglosphere,2011.0,2
Canada,Anglosphere,2012.0,8
Canada,Anglosphere,2013.0,4
Canada,Anglosphere,2014.0,4
Canada,Anglosphere,2015.0,2
Canada,Anglosphere,2016.0,8
Canada,Anglosphere,2017.0,5
Canada,Anglosphere,2019.0,1
Canada,Anglosphere,2020.0,7
Canada,Anglosphere,2021.0,1
Canada,Anglosphere,2022.0,4
Canada,Anglosphere,2023.0,11
Canada,Anglosphere,2024.0,15
Canada,Anglosphere,2025.0,10
China,China,2014.0,2
China,China,2015.0,4
China,China,2016.0,6
China,China,2017.0,14
China,China,2018.0,8
China,China,2019.0,23
China,China,2020.0,12
China,China,2021.0,39
China,China,2022.0,26
China,China,2023.0,146
China,China,2024.0,328
China,China,2025.0,186
China,China,2026.0,15
Croatia,Otro,1976.0,1
Croatia,Otro,2024.0,1
Czechia,Otro,2010.0,3
Czechia,Otro,2011.0,1
Denmark,Europa,1991.0,1
Denmark,Europa,2017.0,1
Denmark,Europa,2018.0,1
Denmark,Europa,2022.0,1
Denmark,Europa,2023.0,1
Denmark,Europa,2024.0,1
Finland,Otro,1981.0,1
Finland,Otro,2006.0,1
Finland,Otro,2013.0,1
Finland,Otro,2023.0,1
Finland,Otro,2024.0,1
France,Europa,1994.0,1
France,Europa,2005.0,1
France,Europa,2006.0,3
France,Europa,2010.0,2
France,Europa,2011.0,1
France,Europa,2013.0,1
France,Europa,2016.0,1
France,Europa,2018.0,1
France,Europa,2020.0,1
France,Europa,2021.0,3
France,Europa,2022.0,3
France,Europa,2023.0,5
France,Europa,2024.0,24
France,Europa,2025.0,25
Germany,Europa,1994.0,1
Germany,Europa,1996.0,1
Germany,Europa,1997.0,1
Germany,Europa,2008.0,1
Germany,Europa,2009.0,1
Germany,Europa,2010.0,2
Germany,Europa,2012.0,2
Germany,Europa,2014.0,1
